"Nazwa";"Marka";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Podsumowanie";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilość"
"Quadro A5000 24GB GDDR6 ";"PNY";"Karty graficzne NVIDIA";12999;"Układ: Quadro RTX A5000<br/>Pamięć: 24 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: DisplayPort 1.4 - 4 szt.";"Układ: Quadro RTX A5000<br/>Pamięć: 24 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: DisplayPort 1.4 - 4 szt.";"http://127.0.0.1/product_images/pr_2022_4_29_9_27_4_888_00.jpg";100
"Radeon RX 6650 XT Dual OC 8GB GDDR6";"ASUS";"Karty graficzne AMD";2549;"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 17500 MHz<br/>Taktowanie rdzenia: 2192 MHz";"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 17500 MHz<br/>Taktowanie rdzenia: 2192 MHz";"http://127.0.0.1/product_images/pr_2022_5_11_13_38_2_902_04.jpg";100
"Radeon RX 6650 XT PULSE GAMING OC 8GB GDDR6";"Sapphire";"Karty graficzne AMD";2349;"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 17500 MHz";"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 17500 MHz";"http://127.0.0.1/product_images/pr_2022_5_11_9_19_5_690_05.jpg";100
"Radeon RX 6400 D6 Low Profile 4GB GDDR6";"Gigabyte";"Karty graficzne AMD";1099;"Układ: Radeon™ RX 6400<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4 - 1 szt.<br/>Taktowanie pamięci: 16000 MHz";"Układ: Radeon™ RX 6400<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4 - 1 szt.<br/>Taktowanie pamięci: 16000 MHz";"http://127.0.0.1/product_images/pr_2022_4_20_12_57_34_911_05.jpg";100
"Radeon PRO W6400 4GB GDDR6 ";"AMD";"Karty graficzne AMD";1099;"Układ: Radeon™ Pro W6400<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: DisplayPort 1.4 - 2 szt.";"Układ: Radeon™ Pro W6400<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: DisplayPort 1.4 - 2 szt.";"http://127.0.0.1/product_images/pr_2022_5_26_13_17_57_282_05.jpg";100
"Quadro RTX A2000 12GB GDDR6";"PNY";"Karty graficzne NVIDIA";3499;"Układ: Quadro RTX A2000<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: mini DisplayPort - 4 szt.";"Układ: Quadro RTX A2000<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: mini DisplayPort - 4 szt.";"http://127.0.0.1/product_images/pr_2022_3_28_15_56_6_772_03.jpg";100
"Radeon RX 6400 AERO ITX 4GB GDDR6";"MSI";"Karty graficzne AMD";1139;"Układ: Radeon™ RX 6400<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 1 szt.<br/>Taktowanie pamięci: 16000 MHz";"Układ: Radeon™ RX 6400<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 1 szt.<br/>Taktowanie pamięci: 16000 MHz";"http://127.0.0.1/product_images/pr_2022_8_25_9_51_53_25_04.jpg";100
"Radeon RX 6950 XT GAMING X TRIO 16GB GDDR6";"MSI";"Karty graficzne AMD";4999;"Układ: Radeon™ RX 6950 XT<br/>Pamięć: 16 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 18000 MHz";"Układ: Radeon™ RX 6950 XT<br/>Pamięć: 16 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 18000 MHz";"http://127.0.0.1/product_images/pr_2022_5_11_8_47_25_786_00.jpg";100
"Radeon RX 6650 XT GAMING X 8GB GDDR6";"MSI";"Karty graficzne AMD";2849;"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 17500 MHz";"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 17500 MHz";"http://127.0.0.1/product_images/pr_2022_5_11_8_27_39_355_01.jpg";100
"Radeon RX 6500 XT TUF Gaming OC 4GB GDDR6";"ASUS";"Karty graficzne AMD";1499;"Układ: Radeon™ RX 6500 XT<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 1 szt.<br/>Taktowanie pamięci: 18000 MHz";"Układ: Radeon™ RX 6500 XT<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 1 szt.<br/>Taktowanie pamięci: 18000 MHz";"http://127.0.0.1/product_images/pr_2022_3_28_15_19_22_745_04.jpg";100
