"Nazwa";"Marka";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Podsumowanie";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilość"
"GXT 131 RANOO WIRELESS GAMING MOUSE";"Trust";"Myszki bezprzewodowe";149;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 9<br/>Rozdzielczość: 4800 dpi<br/>Interfejs: 2,4 GHz<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 9<br/>Rozdzielczość: 4800 dpi<br/>Interfejs: 2,4 GHz<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2021_12_14_7_59_18_138_01.jpg";100
"Prime Mini Wireless";"SteelSeries";"Myszki bezprzewodowe";449;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 18000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 100 godzin<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 18000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 100 godzin<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2021_9_22_7_59_24_687_02.jpg";100
"Viper Ultimate & Mouse Dock Mercury";"Razer";"Myszki bezprzewodowe";699;"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 8<br/>Rozdzielczość: 20000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 70 godzin<br/>Profil: Uniwersalny";"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 8<br/>Rozdzielczość: 20000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 70 godzin<br/>Profil: Uniwersalny";"http://127.0.0.1/product_images/pr_2021_9_10_15_26_46_517_03.jpg";100
"CLUTCH GM41 Lightweight Wireless";"MSI";"Myszki bezprzewodowe";379;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 20000 dpi<br/>Interfejs: USB<br/>Czas pracy na baterii: Do 80 godzin<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 20000 dpi<br/>Interfejs: USB<br/>Czas pracy na baterii: Do 80 godzin<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2021_5_24_8_15_26_903_01.jpg";100
"Kone Pro Air (biała)";"Roccat";"Myszki bezprzewodowe";529;"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: Bluetooth, USB<br/>Czas pracy na baterii: Do 100 godzin<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: Bluetooth, USB<br/>Czas pracy na baterii: Do 100 godzin<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2021_5_20_12_23_59_7_05.jpg";100
"Kone Pro Air (czarna)";"Roccat";"Myszki bezprzewodowe";529;"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: Bluetooth, USB<br/>Czas pracy na baterii: Do 100 godzin<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: Bluetooth, USB<br/>Czas pracy na baterii: Do 100 godzin<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2021_5_20_12_15_27_19_05.jpg";100
"DM6 Holey Duo";"Dream Machines";"Myszki bezprzewodowe";199;"Typ myszy: Dla graczy, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2020_12_22_15_36_58_517_00.jpg";100
"Model O Wireless (Matte Black)";"Glorious PC Gaming Race";"Myszki bezprzewodowe";429;"Typ myszy: Dla graczy, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Czas pracy na baterii: Do 71 godzin<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Czas pracy na baterii: Do 71 godzin<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_10_10_14_55_57_633_05.jpg";100
"Viper Ultimate";"Razer";"Myszki bezprzewodowe";549;"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 8<br/>Rozdzielczość: 20000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 70 godzin<br/>Profil: Uniwersalny";"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 8<br/>Rozdzielczość: 20000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 70 godzin<br/>Profil: Uniwersalny";"http://127.0.0.1/product_images/pr_2020_11_27_9_18_2_428_01.jpg";100
"Basilisk Ultimate";"Razer";"Myszki bezprzewodowe";629;"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 11<br/>Rozdzielczość: 20000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 100 godzin<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 11<br/>Rozdzielczość: 20000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 100 godzin<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2020_4_8_7_43_22_51_00.jpg";100
"DeathAdder V2 Pro";"Razer";"Myszki bezprzewodowe";539;"Typ myszy: Dla graczy, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 8<br/>Rozdzielczość: 20000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth, USB<br/>Czas pracy na baterii: Do 70 godzin, Do 120 godzin - tryb bluetooth<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 8<br/>Rozdzielczość: 20000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth, USB<br/>Czas pracy na baterii: Do 70 godzin, Do 120 godzin - tryb bluetooth<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2020_9_21_15_26_54_545_00.jpg";100
"Pulsefire Dart Wireless Gaming Mouse";"HyperX";"Myszki bezprzewodowe";399;"Typ myszy: Dla graczy, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 50 godzin<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 50 godzin<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2019_10_7_14_39_12_506_05.jpg";100
"ROG Strix Carry (czarny)";"ASUS";"Myszki bezprzewodowe";349;"Typ myszy: Dla graczy, Multimedialna, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 7200 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 15 dni<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Multimedialna, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 7200 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 15 dni<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2020_4_27_12_30_6_381_00.jpg";100
"G603 LIGHTSPEED";"Logitech";"Myszki bezprzewodowe";319;"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 12000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 18 miesięcy<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 12000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 18 miesięcy<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2020_4_22_9_15_25_841_00.jpg";100
"Atheris";"Razer";"Myszki bezprzewodowe";229;"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 7200 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 15 dni<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 7200 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 15 dni<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2020_4_8_7_42_25_638_00.jpg";100
